id,store_name,contact_person,contact_number,address,area,landmark,city,state,country,pincode,google_location_url,latitude,longitude,status,notes,created_at
1,Mina Store,,9841034360,"Bagdol Inar Chok, Lalitpur 4",Bagdol Inar Chok,,Lalitpur,Bagmati,Nepal,,,,,prospect,,2026-04-15 09:27:16
2,Anima Kirana Store,,01-5190266,Lalitpur 4,,,Lalitpur,Bagmati,Nepal,,,,,prospect,,2026-04-15 09:27:16
3,,Tek Bahadur,,"Rastrapati Marga, Lalitpur 4",Rastrapati Marga,,Lalitpur,Bagmati,Nepal,,,,,prospect,,2026-04-15 09:27:16
4,,Bikram,9864590553,"Lalitpur 4, Bagdol, Rastrapati Marga",Bagdol,Rastrapati Marga,Lalitpur,Bagmati,Nepal,,,,,prospect,,2026-04-15 09:27:16
5,Masala Pasal,Masala,,"Lalitpur 4, Bagdol",Bagdol,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/Ped2Q31JV5TJ2s4Y6,,,prospect,,2026-04-15 09:27:16
6,Gorkhali Khadhya Bhandar,,"9841516863, 9851319543","Lalitpur 4, Bagdol",Bagdol,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/LSGYpghcxVxA9S6F7,,,prospect,,2026-04-15 09:27:16
7,Annapurna Organic Store,,9851198319,"Lalitpur 4, Bagdol",Bagdol,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/AqYFWLT5qPMHpdxP9,,,prospect,,2026-04-15 09:27:16
8,JSA Enterprises,Santosh Shrestha,9845907637,"Lalitpur 4, Bagdol",Bagdol,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/NC3cnJ4iHuu1ZWWz7,,,prospect,,2026-04-15 09:27:16
9,Big Mart,Head Office Baluwatar,9802314463,"Lalitpur 4, Bagdol",Bagdol,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/KFYpv9fF8mKAwv9x5,,,prospect,,2026-04-15 09:27:16
10,Om Aakash Kirana Pasal,Suman Kumar Shrestha,9844565539,"Lalitpur 4, Bagdol",Bagdol,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/fCwxRhvoRgV3NPbz9,,,prospect,,2026-04-15 09:27:16
11,Kirana Pasal,,,"Lalitpur 4, Bagdol",Bagdol,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/PkVHkzvYtrB9atju7,,,prospect,,2026-04-15 09:27:16
12,MR. Kirana Store,Mukesh,9843414626,"Lalitpur 4, Bagdol",Bagdol,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/MjmDFsHfYYBzbEoJ9,,,prospect,,2026-04-15 09:27:16
13,Nabadeep Dairy,,9841795886,"Lalitpur 4, Bagdol",Bagdol,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/XRY1D96sfXd1UA8E6,,,prospect,,2026-04-15 09:27:16
14,Met Store,,9827130094,"Lalitpur 4, Bagdol",Bagdol,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/kmAekApMovfwSsE66,,,prospect,,2026-04-15 09:27:16
15,Radharani Store,,9841433793,"Lalitpur 4, Bagdol",Bagdol,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/yeqHtjN3LvipRxuGA,,,prospect,,2026-04-15 09:27:16
16,Astamatrika Puja Samagri Pasal,,"9860163737, 9841757941","Lalitpur 4, Bagdol",Bagdol,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/HRGjv1jGBvUWAR8d9,,,prospect,,2026-04-15 09:27:16
17,S and M Grocery,,9841233003,"Lalitpur 4, Bagdol, Aphaldol",Bagdol,Aphaldol,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/shkpaWtnKi8BcbPb7,,,prospect,,2026-04-15 09:27:16
18,Durga Cold Store,,9849108072,"Lalitpur 4, Bagdol, Aphaldol",Bagdol,Aphaldol,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/Ch1gHnkyKcWXa4Q39,,,prospect,,2026-04-15 09:27:16
19,Bina Masala Pasal,,"9823955935, 9822067280","Lalitpur 4, Bagdol",Bagdol,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/CP3ZVp76LyZSfa4d7,,,prospect,,2026-04-15 09:27:16
20,Pasal,,,"Lalitpur 4, Bagdol",Bagdol,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/NaLZFuXS8YHYffzX7,,,prospect,,2026-04-15 09:27:16
21,R L Store,Laxman Maharjan,9860558873,"Lalitpur 4, Bagdol, Aphaldol",Bagdol,Aphaldol,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/omTfqEm28khJZUue7,,,prospect,,2026-04-15 09:27:16
22,Prandevi Store,,980914994,"Lalitpur 4, Bagdol",Bagdol,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/2nwxhcC8L6LuizCa8,,,prospect,,2026-04-15 09:27:16
23,Megendra Store,,9843470056,"Lalitpur 4, Dhobighat",Dhobighat,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/7umv5XpATiyb9bK87,,,prospect,,2026-04-15 09:27:16
24,,Devendra,9865705293,"Lalitpur 4, Dhobighat",Dhobighat,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/gmpMdy39n3wXQd2n8,,,prospect,,2026-04-15 09:27:16
25,Karki Store,,98411610019,"Lalitpur 4, Dhobighat",Dhobighat,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/Y21ABFDh4cPcQTLr5,,,prospect,,2026-04-15 09:27:16
26,Kritika and Ritika Store,,9813033301,"Lalitpur 4, Dhobighat",Dhobighat,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/GghJrFzmrAcpUnvA6,,,prospect,,2026-04-15 09:27:16
27,New Maharjan Store,,01-5188214,"Lalitpur 4, Dhobighat",Dhobighat,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/VTFahdCWMncqQJnd7,,,prospect,,2026-04-15 09:27:16
28,Tulasi Store,Nhuchhe Maya Maharjan,"9843676581, 9841930506","Lalitpur 3, Dhobighat",Dhobighat,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/PsoJSoxMaTRrExNb9,,,prospect,,2026-04-15 09:27:16
29,Bajrangawoli Cold Store,,9841784088,"Lalitpur 3, Dhobighat, Sangam Basti",Dhobighat,Sangam Basti,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/CsMPD8RpcdW4t8nh6,,,prospect,,2026-04-15 09:27:16
30,Binod Kirana and Phalful Pasal,,9861342181,"Lalitpur 4, Bagdol, Rastrapati Marga",Bagdol,Rastrapati Marga,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/j96TQzCCQyNzm4kf6,,,prospect,,2026-04-15 09:27:16
31,Krishna Store,Sunita Khadka,9840427854,"Lalitpur 4, Bagdol",Bagdol,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/d6MWLuF529G7dh987,,,prospect,,2026-04-15 09:27:16
32,Buddhi Store,Santosh Shrestha,9808864124,"Lalitpur 4, Bagdol",Bagdol,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/AkYDNZYwNHX9FVG99,,,prospect,,2026-04-15 09:27:16
33,Rabisonu Khadya Store,Niranjan Prasad,9803843336,"Lalitpur 4, Bagdol",Bagdol,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/Vp6hFgwr7Yiio7b67,,,prospect,,2026-04-15 09:27:16
34,Thapaji Khadka Store,Tilak Bahadur,9742550893,"Lalitpur 4, Bishnudevi",Bishnudevi,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/5VpamW6quZUzcoug6,,,prospect,,2026-04-15 09:27:16
35,Best Buy Stores,Bishnu Prasad,9868176653,"Lalitpur 13, Nakhu Dobato",Nakhu Dobato,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/gbTcQgNitiCxAwrA9,,,prospect,,2026-04-15 09:27:16
36,Pan Pasal,,9801832991,"Lalitpur 13, Bishnudevi Mandir, Nakhu",Bishnudevi Mandir,Nakhu,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/88ph3KG1bk6RnrY38,,,prospect,,2026-04-15 09:27:16
37,Shiva Baba Khadhnna,,9806876464,"Lalitpur 13, Nakhu",Nakhu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/MbowXPwMeqcgHSm2A,,,prospect,,2026-04-15 09:27:16
38,B K S Store,,9860589501,"Lalitpur 13, Nakhu",Nakhu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/ychWs6gfmsEnJnTP9,,,prospect,,2026-04-15 09:27:16
39,Kirana Pasal,,,"Lalitpur 13, Nakhu",Nakhu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/qH1iDMCqFVNsJ2k8A,,,prospect,,2026-04-15 09:27:16
40,Usha Store,Binod Gurung,9848020787,"Lalitpur 13, Nakhu",Nakhu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/KvbYbV88peb3Y2zC8,,,prospect,,2026-04-15 09:27:16
41,Khusi Kirana Store,,"9768716661, 9768716662","Lalitpur 13, Nakhu",Nakhu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/fRVy62AF3vymQDou8,,,prospect,,2026-04-15 09:27:16
42,Riddhi Siddhi Masala tatha Khadhyanna,,"9849395184, 9818334779","Lalitpur 13, Kusunti",Kusunti,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/HfgkZbUBacwi32Q1A,,,prospect,,2026-04-15 09:27:16
43,Kristi Kirana Pasal,,9864001811,"Lalitpur 13, Kusunti",Kusunti,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/7AeP4dhHtkWxJwWEA,,,prospect,,2026-04-15 09:27:16
44,Bharatb Kirana Pasal,,,"Lalitpur 13, Kusunti",Kusunti,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/TZHMRJVhp8vEsUT,,,prospect,,2026-04-15 09:27:16
